premise	hypothesis	determiner_type	noun_category	environment	hypothesis_polarity	determiner	context
If two girls had cast bronze into a statue, we would have begun.	There was at least one girl.	weak	real	conditional	positive	two	neutral
If two professors had hit the ball, we would have begun.	There was at least one professor.	weak	real	conditional	positive	two	neutral
If two actors had cast bronze into a statue, we would have begun.	There was at least one actor.	weak	real	conditional	positive	two	neutral
If two boys had set the table, we would have begun.	There was at least one boy.	weak	real	conditional	positive	two	neutral
If two doctors had shut the door, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	two	neutral
If two actors had cut the ribbon, we would have begun.	There was at least one actor.	weak	real	conditional	positive	two	neutral
If two boys had broadcast the message, we would have begun.	There was at least one boy.	weak	real	conditional	positive	two	neutral
If two students had shut the door, we would have begun.	There was at least one student.	weak	real	conditional	positive	two	neutral
If two kids had thrust the fork into the cake, we would have begun.	There was at least one kid.	weak	real	conditional	positive	two	neutral
If two engineers had cast bronze into a statue, we would have begun.	There was at least one engineer.	weak	real	conditional	positive	two	neutral
If two teachers had spread the rumor, we would have begun.	There was at least one teacher.	weak	real	conditional	positive	two	neutral
If two workers had spread the rumor, we would have begun.	There was at least one worker.	weak	real	conditional	positive	two	neutral
If two boys had cut the ribbon, we would have begun.	There was at least one boy.	weak	real	conditional	positive	two	neutral
If two assistants had set the table, we would have begun.	There was at least one assistant.	weak	real	conditional	positive	two	neutral
If two teachers had hit the ball, we would have begun.	There was at least one teacher.	weak	real	conditional	positive	two	neutral
If two doctors had broadcast the message, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	two	neutral
If two directors had spread the rumor, we would have begun.	There was at least one director.	weak	real	conditional	positive	two	neutral
If two girls had hurt others, we would have begun.	There was at least one girl.	weak	real	conditional	positive	two	neutral
If two athletes had hit the ball, we would have begun.	There was at least one athlete.	weak	real	conditional	positive	two	neutral
If two girls had shut the door, we would have begun.	There was at least one girl.	weak	real	conditional	positive	two	neutral
If two doctors had hit the lights, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	two	neutral
If two directors had spread the rumor, we would have begun.	There was at least one director.	weak	real	conditional	positive	two	neutral
If two teachers had hurt others, we would have begun.	There was at least one teacher.	weak	real	conditional	positive	two	neutral
If two kids had burst into the room, we would have begun.	There was at least one kid.	weak	real	conditional	positive	two	neutral
If two directors had read the letter, we would have begun.	There was at least one director.	weak	real	conditional	positive	two	neutral
If two workers had hit the gong, we would have begun.	There was at least one worker.	weak	real	conditional	positive	two	neutral
If two singers had let the dog in, we would have begun.	There was at least one singer.	weak	real	conditional	positive	two	neutral
If two kids had shut the door, we would have begun.	There was at least one kid.	weak	real	conditional	positive	two	neutral
If two directors had hit the gong, we would have begun.	There was at least one director.	weak	real	conditional	positive	two	neutral
If two professors had hit the lights, we would have begun.	There was at least one professor.	weak	real	conditional	positive	two	neutral
If two girls had spread the rumor, we would have begun.	There was at least one girl.	weak	real	conditional	positive	two	neutral
If two singers had upset the boat, we would have begun.	There was at least one singer.	weak	real	conditional	positive	two	neutral
If two engineers had cut the ribbon, we would have begun.	There was at least one engineer.	weak	real	conditional	positive	two	neutral
If two boys had read the letter, we would have begun.	There was at least one boy.	weak	real	conditional	positive	two	neutral
If two boys had put on a jacket, we would have begun.	There was at least one boy.	weak	real	conditional	positive	two	neutral
If two directors had put the book on the shelf, we would have begun.	There was at least one director.	weak	real	conditional	positive	two	neutral
If two kids had set the table, we would have begun.	There was at least one kid.	weak	real	conditional	positive	two	neutral
If two students had shut the door, we would have begun.	There was at least one student.	weak	real	conditional	positive	two	neutral
If two athletes had hit the gong, we would have begun.	There was at least one athlete.	weak	real	conditional	positive	two	neutral
If two professors had hit the gong, we would have begun.	There was at least one professor.	weak	real	conditional	positive	two	neutral
If two engineers had put the book on the shelf, we would have begun.	There was at least one engineer.	weak	real	conditional	positive	two	neutral
If two managers had read the letter, we would have begun.	There was at least one manager.	weak	real	conditional	positive	two	neutral
If two doctors had let the dog in, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	two	neutral
If two professors had hit the gong, we would have begun.	There was at least one professor.	weak	real	conditional	positive	two	neutral
If two assistants had cut the ribbon, we would have begun.	There was at least one assistant.	weak	real	conditional	positive	two	neutral
If two kids had shut the door, we would have begun.	There was at least one kid.	weak	real	conditional	positive	two	neutral
If two doctors had broadcast the message, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	two	neutral
If two teachers had cast bronze into a statue, we would have begun.	There was at least one teacher.	weak	real	conditional	positive	two	neutral
If two directors had read the letter, we would have begun.	There was at least one director.	weak	real	conditional	positive	two	neutral
If two students had hit the ball, we would have begun.	There was at least one student.	weak	real	conditional	positive	two	neutral
If two girls had put on a jacket, we would have begun.	There was at least one girl.	weak	real	conditional	positive	two	neutral
If two singers had cast bronze into a statue, we would have begun.	There was at least one singer.	weak	real	conditional	positive	two	neutral
If two kids had put the book on the shelf, we would have begun.	There was at least one kid.	weak	real	conditional	positive	two	neutral
If two assistants had shut the door, we would have begun.	There was at least one assistant.	weak	real	conditional	positive	two	neutral
If two girls had thrust the fork into the cake, we would have begun.	There was at least one girl.	weak	real	conditional	positive	two	neutral
If two engineers had slit the envelope, we would have begun.	There was at least one engineer.	weak	real	conditional	positive	two	neutral
If two girls had hit the lights, we would have begun.	There was at least one girl.	weak	real	conditional	positive	two	neutral
If two engineers had spread the rumor, we would have begun.	There was at least one engineer.	weak	real	conditional	positive	two	neutral
If two engineers had put the book on the shelf, we would have begun.	There was at least one engineer.	weak	real	conditional	positive	two	neutral
If two doctors had burst into the room, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	two	neutral
If two boys had slit the envelope, we would have begun.	There was at least one boy.	weak	real	conditional	positive	two	neutral
If two singers had read the letter, we would have begun.	There was at least one singer.	weak	real	conditional	positive	two	neutral
If two directors had read the letter, we would have begun.	There was at least one director.	weak	real	conditional	positive	two	neutral
If two managers had thrust the fork into the cake, we would have begun.	There was at least one manager.	weak	real	conditional	positive	two	neutral
If two teachers had read the letter, we would have begun.	There was at least one teacher.	weak	real	conditional	positive	two	neutral
If two athletes had shut the door, we would have begun.	There was at least one athlete.	weak	real	conditional	positive	two	neutral
If two directors had burst into the room, we would have begun.	There was at least one director.	weak	real	conditional	positive	two	neutral
If two singers had hit the ball, we would have begun.	There was at least one singer.	weak	real	conditional	positive	two	neutral
If two workers had read the letter, we would have begun.	There was at least one worker.	weak	real	conditional	positive	two	neutral
If two doctors had thrust the fork into the cake, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	two	neutral
If two actors had set the table, we would have begun.	There was at least one actor.	weak	real	conditional	positive	two	neutral
If two assistants had hit the gong, we would have begun.	There was at least one assistant.	weak	real	conditional	positive	two	neutral
If two actors had thrust the fork into the cake, we would have begun.	There was at least one actor.	weak	real	conditional	positive	two	neutral
If two teachers had slit the envelope, we would have begun.	There was at least one teacher.	weak	real	conditional	positive	two	neutral
If two doctors had broadcast the message, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	two	neutral
If two actors had put the book on the shelf, we would have begun.	There was at least one actor.	weak	real	conditional	positive	two	neutral
If two doctors had hit the gong, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	two	neutral
If two managers had hit the gong, we would have begun.	There was at least one manager.	weak	real	conditional	positive	two	neutral
If two managers had slit the envelope, we would have begun.	There was at least one manager.	weak	real	conditional	positive	two	neutral
If two girls had hurt others, we would have begun.	There was at least one girl.	weak	real	conditional	positive	two	neutral
If two doctors had cut the ribbon, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	two	neutral
If two doctors had shut the door, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	two	neutral
If few actors had hurt others, we would have begun.	There was at least one actor.	weak	real	conditional	positive	few	neutral
If few assistants had thrust the fork into the cake, we would have begun.	There was at least one assistant.	weak	real	conditional	positive	few	neutral
If few workers had put on a jacket, we would have begun.	There was at least one worker.	weak	real	conditional	positive	few	neutral
If few workers had upset the boat, we would have begun.	There was at least one worker.	weak	real	conditional	positive	few	neutral
If few boys had cast bronze into a statue, we would have begun.	There was at least one boy.	weak	real	conditional	positive	few	neutral
If few students had thrust the fork into the cake, we would have begun.	There was at least one student.	weak	real	conditional	positive	few	neutral
If few girls had hurt others, we would have begun.	There was at least one girl.	weak	real	conditional	positive	few	neutral
If few teachers had hit the ball, we would have begun.	There was at least one teacher.	weak	real	conditional	positive	few	neutral
If few directors had read the letter, we would have begun.	There was at least one director.	weak	real	conditional	positive	few	neutral
If few assistants had shut the door, we would have begun.	There was at least one assistant.	weak	real	conditional	positive	few	neutral
If few girls had slit the envelope, we would have begun.	There was at least one girl.	weak	real	conditional	positive	few	neutral
If few athletes had hit the gong, we would have begun.	There was at least one athlete.	weak	real	conditional	positive	few	neutral
If few kids had put the book on the shelf, we would have begun.	There was at least one kid.	weak	real	conditional	positive	few	neutral
If few girls had put the book on the shelf, we would have begun.	There was at least one girl.	weak	real	conditional	positive	few	neutral
If few students had cast bronze into a statue, we would have begun.	There was at least one student.	weak	real	conditional	positive	few	neutral
If few girls had thrust the fork into the cake, we would have begun.	There was at least one girl.	weak	real	conditional	positive	few	neutral
If few workers had cast bronze into a statue, we would have begun.	There was at least one worker.	weak	real	conditional	positive	few	neutral
If few boys had thrust the fork into the cake, we would have begun.	There was at least one boy.	weak	real	conditional	positive	few	neutral
If few managers had thrust the fork into the cake, we would have begun.	There was at least one manager.	weak	real	conditional	positive	few	neutral
If few assistants had put on a jacket, we would have begun.	There was at least one assistant.	weak	real	conditional	positive	few	neutral
If few students had upset the boat, we would have begun.	There was at least one student.	weak	real	conditional	positive	few	neutral
If few assistants had upset the boat, we would have begun.	There was at least one assistant.	weak	real	conditional	positive	few	neutral
If few girls had spread the rumor, we would have begun.	There was at least one girl.	weak	real	conditional	positive	few	neutral
If few singers had spread the rumor, we would have begun.	There was at least one singer.	weak	real	conditional	positive	few	neutral
If few engineers had read the letter, we would have begun.	There was at least one engineer.	weak	real	conditional	positive	few	neutral
If few engineers had spread the rumor, we would have begun.	There was at least one engineer.	weak	real	conditional	positive	few	neutral
If few boys had put the book on the shelf, we would have begun.	There was at least one boy.	weak	real	conditional	positive	few	neutral
If few actors had hit the gong, we would have begun.	There was at least one actor.	weak	real	conditional	positive	few	neutral
If few doctors had cast bronze into a statue, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	few	neutral
If few boys had burst into the room, we would have begun.	There was at least one boy.	weak	real	conditional	positive	few	neutral
If few directors had read the letter, we would have begun.	There was at least one director.	weak	real	conditional	positive	few	neutral
If few engineers had burst into the room, we would have begun.	There was at least one engineer.	weak	real	conditional	positive	few	neutral
If few doctors had burst into the room, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	few	neutral
If few directors had let the dog in, we would have begun.	There was at least one director.	weak	real	conditional	positive	few	neutral
If few girls had hit the lights, we would have begun.	There was at least one girl.	weak	real	conditional	positive	few	neutral
If few doctors had upset the boat, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	few	neutral
If few managers had hit the gong, we would have begun.	There was at least one manager.	weak	real	conditional	positive	few	neutral
If few girls had spread the rumor, we would have begun.	There was at least one girl.	weak	real	conditional	positive	few	neutral
If few boys had hit the gong, we would have begun.	There was at least one boy.	weak	real	conditional	positive	few	neutral
If few professors had hit the lights, we would have begun.	There was at least one professor.	weak	real	conditional	positive	few	neutral
If few boys had cast bronze into a statue, we would have begun.	There was at least one boy.	weak	real	conditional	positive	few	neutral
If few directors had slit the envelope, we would have begun.	There was at least one director.	weak	real	conditional	positive	few	neutral
If few girls had put on a jacket, we would have begun.	There was at least one girl.	weak	real	conditional	positive	few	neutral
If few directors had let the dog in, we would have begun.	There was at least one director.	weak	real	conditional	positive	few	neutral
If few doctors had hit the gong, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	few	neutral
If few girls had set the table, we would have begun.	There was at least one girl.	weak	real	conditional	positive	few	neutral
If few girls had cut the ribbon, we would have begun.	There was at least one girl.	weak	real	conditional	positive	few	neutral
If few doctors had slit the envelope, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	few	neutral
If few workers had hit the lights, we would have begun.	There was at least one worker.	weak	real	conditional	positive	few	neutral
If few girls had cut the ribbon, we would have begun.	There was at least one girl.	weak	real	conditional	positive	few	neutral
If few engineers had set the table, we would have begun.	There was at least one engineer.	weak	real	conditional	positive	few	neutral
If few directors had hit the gong, we would have begun.	There was at least one director.	weak	real	conditional	positive	few	neutral
If few assistants had upset the boat, we would have begun.	There was at least one assistant.	weak	real	conditional	positive	few	neutral
If few managers had hit the lights, we would have begun.	There was at least one manager.	weak	real	conditional	positive	few	neutral
If few girls had read the letter, we would have begun.	There was at least one girl.	weak	real	conditional	positive	few	neutral
If few actors had hurt others, we would have begun.	There was at least one actor.	weak	real	conditional	positive	few	neutral
If few engineers had hit the lights, we would have begun.	There was at least one engineer.	weak	real	conditional	positive	few	neutral
If few athletes had spread the rumor, we would have begun.	There was at least one athlete.	weak	real	conditional	positive	few	neutral
If few professors had cast bronze into a statue, we would have begun.	There was at least one professor.	weak	real	conditional	positive	few	neutral
If few professors had put the book on the shelf, we would have begun.	There was at least one professor.	weak	real	conditional	positive	few	neutral
If few actors had burst into the room, we would have begun.	There was at least one actor.	weak	real	conditional	positive	few	neutral
If few managers had let the dog in, we would have begun.	There was at least one manager.	weak	real	conditional	positive	few	neutral
If few doctors had set the table, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	few	neutral
If few kids had hit the ball, we would have begun.	There was at least one kid.	weak	real	conditional	positive	few	neutral
If few boys had put the book on the shelf, we would have begun.	There was at least one boy.	weak	real	conditional	positive	few	neutral
If few athletes had hit the gong, we would have begun.	There was at least one athlete.	weak	real	conditional	positive	few	neutral
If few engineers had upset the boat, we would have begun.	There was at least one engineer.	weak	real	conditional	positive	few	neutral
If few athletes had set the table, we would have begun.	There was at least one athlete.	weak	real	conditional	positive	few	neutral
If few doctors had broadcast the message, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	few	neutral
If few doctors had burst into the room, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	few	neutral
If few teachers had hit the ball, we would have begun.	There was at least one teacher.	weak	real	conditional	positive	few	neutral
If few athletes had shut the door, we would have begun.	There was at least one athlete.	weak	real	conditional	positive	few	neutral
If few directors had hit the gong, we would have begun.	There was at least one director.	weak	real	conditional	positive	few	neutral
If few assistants had shut the door, we would have begun.	There was at least one assistant.	weak	real	conditional	positive	few	neutral
If few singers had broadcast the message, we would have begun.	There was at least one singer.	weak	real	conditional	positive	few	neutral
If few professors had hit the gong, we would have begun.	There was at least one professor.	weak	real	conditional	positive	few	neutral
If few teachers had let the dog in, we would have begun.	There was at least one teacher.	weak	real	conditional	positive	few	neutral
If few girls had spread the rumor, we would have begun.	There was at least one girl.	weak	real	conditional	positive	few	neutral
If few athletes had hit the ball, we would have begun.	There was at least one athlete.	weak	real	conditional	positive	few	neutral
If few kids had let the dog in, we would have begun.	There was at least one kid.	weak	real	conditional	positive	few	neutral
If few doctors had upset the boat, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	few	neutral
If few workers had hit the ball, we would have begun.	There was at least one worker.	weak	real	conditional	positive	few	neutral
If few managers had set the table, we would have begun.	There was at least one manager.	weak	real	conditional	positive	few	neutral
If few assistants had cast bronze into a statue, we would have begun.	There was at least one assistant.	weak	real	conditional	positive	few	neutral
If few actors had slit the envelope, we would have begun.	There was at least one actor.	weak	real	conditional	positive	few	neutral
If few assistants had slit the envelope, we would have begun.	There was at least one assistant.	weak	real	conditional	positive	few	neutral
If few girls had upset the boat, we would have begun.	There was at least one girl.	weak	real	conditional	positive	few	neutral
If few assistants had read the letter, we would have begun.	There was at least one assistant.	weak	real	conditional	positive	few	neutral
If few doctors had hit the gong, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	few	neutral
If few singers had upset the boat, we would have begun.	There was at least one singer.	weak	real	conditional	positive	few	neutral
If few assistants had cast bronze into a statue, we would have begun.	There was at least one assistant.	weak	real	conditional	positive	few	neutral
If few singers had let the dog in, we would have begun.	There was at least one singer.	weak	real	conditional	positive	few	neutral
If few girls had slit the envelope, we would have begun.	There was at least one girl.	weak	real	conditional	positive	few	neutral
If few athletes had put the book on the shelf, we would have begun.	There was at least one athlete.	weak	real	conditional	positive	few	neutral
If few doctors had spread the rumor, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	few	neutral
If few workers had put on a jacket, we would have begun.	There was at least one worker.	weak	real	conditional	positive	few	neutral
If few managers had broadcast the message, we would have begun.	There was at least one manager.	weak	real	conditional	positive	few	neutral
If few singers had hit the gong, we would have begun.	There was at least one singer.	weak	real	conditional	positive	few	neutral
If few doctors had cut the ribbon, we would have begun.	There was at least one doctor.	weak	real	conditional	positive	few	neutral
If few managers had hit the gong, we would have begun.	There was at least one manager.	weak	real	conditional	positive	few	neutral
If some boys had thrust the fork into the cake, we would have begun.	There was no boy.	weak	real	conditional	negative	some	neutral
If some doctors had put the book on the shelf, we would have begun.	There was no doctor.	weak	real	conditional	negative	some	neutral
If some doctors had hit the lights, we would have begun.	There was no doctor.	weak	real	conditional	negative	some	neutral
If some workers had burst into the room, we would have begun.	There was no worker.	weak	real	conditional	negative	some	neutral
If some actors had shut the door, we would have begun.	There was no actor.	weak	real	conditional	negative	some	neutral
If some directors had cut the ribbon, we would have begun.	There was no director.	weak	real	conditional	negative	some	neutral
If some athletes had hit the ball, we would have begun.	There was no athlete.	weak	real	conditional	negative	some	neutral
If some actors had cast bronze into a statue, we would have begun.	There was no actor.	weak	real	conditional	negative	some	neutral
If some managers had thrust the fork into the cake, we would have begun.	There was no manager.	weak	real	conditional	negative	some	neutral
If some girls had slit the envelope, we would have begun.	There was no girl.	weak	real	conditional	negative	some	neutral
If some girls had shut the door, we would have begun.	There was no girl.	weak	real	conditional	negative	some	neutral
If some professors had read the letter, we would have begun.	There was no professor.	weak	real	conditional	negative	some	neutral
If some engineers had broadcast the message, we would have begun.	There was no engineer.	weak	real	conditional	negative	some	neutral
If some kids had spread the rumor, we would have begun.	There was no kid.	weak	real	conditional	negative	some	neutral
If some students had thrust the fork into the cake, we would have begun.	There was no student.	weak	real	conditional	negative	some	neutral
If some girls had hit the gong, we would have begun.	There was no girl.	weak	real	conditional	negative	some	neutral
If some assistants had read the letter, we would have begun.	There was no assistant.	weak	real	conditional	negative	some	neutral
If some professors had hit the lights, we would have begun.	There was no professor.	weak	real	conditional	negative	some	neutral
If some managers had hit the ball, we would have begun.	There was no manager.	weak	real	conditional	negative	some	neutral
If some doctors had hurt others, we would have begun.	There was no doctor.	weak	real	conditional	negative	some	neutral
If some doctors had upset the boat, we would have begun.	There was no doctor.	weak	real	conditional	negative	some	neutral
If some doctors had hit the lights, we would have begun.	There was no doctor.	weak	real	conditional	negative	some	neutral
If some boys had upset the boat, we would have begun.	There was no boy.	weak	real	conditional	negative	some	neutral
If some kids had upset the boat, we would have begun.	There was no kid.	weak	real	conditional	negative	some	neutral
If some professors had burst into the room, we would have begun.	There was no professor.	weak	real	conditional	negative	some	neutral
If some doctors had hit the lights, we would have begun.	There was no doctor.	weak	real	conditional	negative	some	neutral
If some actors had hit the ball, we would have begun.	There was no actor.	weak	real	conditional	negative	some	neutral
If some teachers had slit the envelope, we would have begun.	There was no teacher.	weak	real	conditional	negative	some	neutral
If some singers had thrust the fork into the cake, we would have begun.	There was no singer.	weak	real	conditional	negative	some	neutral
If some directors had cast bronze into a statue, we would have begun.	There was no director.	weak	real	conditional	negative	some	neutral
If some students had hit the ball, we would have begun.	There was no student.	weak	real	conditional	negative	some	neutral
If some kids had burst into the room, we would have begun.	There was no kid.	weak	real	conditional	negative	some	neutral
If some girls had let the dog in, we would have begun.	There was no girl.	weak	real	conditional	negative	some	neutral
If some girls had hurt others, we would have begun.	There was no girl.	weak	real	conditional	negative	some	neutral
If some girls had hurt others, we would have begun.	There was no girl.	weak	real	conditional	negative	some	neutral
If some doctors had put the book on the shelf, we would have begun.	There was no doctor.	weak	real	conditional	negative	some	neutral
If some teachers had read the letter, we would have begun.	There was no teacher.	weak	real	conditional	negative	some	neutral
If some singers had read the letter, we would have begun.	There was no singer.	weak	real	conditional	negative	some	neutral
If some girls had thrust the fork into the cake, we would have begun.	There was no girl.	weak	real	conditional	negative	some	neutral
If some teachers had read the letter, we would have begun.	There was no teacher.	weak	real	conditional	negative	some	neutral
If some engineers had broadcast the message, we would have begun.	There was no engineer.	weak	real	conditional	negative	some	neutral
If some directors had put the book on the shelf, we would have begun.	There was no director.	weak	real	conditional	negative	some	neutral
If some kids had broadcast the message, we would have begun.	There was no kid.	weak	real	conditional	negative	some	neutral
If some directors had hurt others, we would have begun.	There was no director.	weak	real	conditional	negative	some	neutral
If some directors had thrust the fork into the cake, we would have begun.	There was no director.	weak	real	conditional	negative	some	neutral
If some doctors had burst into the room, we would have begun.	There was no doctor.	weak	real	conditional	negative	some	neutral
If some kids had cut the ribbon, we would have begun.	There was no kid.	weak	real	conditional	negative	some	neutral
If some professors had upset the boat, we would have begun.	There was no professor.	weak	real	conditional	negative	some	neutral
If some managers had hit the ball, we would have begun.	There was no manager.	weak	real	conditional	negative	some	neutral
If some girls had read the letter, we would have begun.	There was no girl.	weak	real	conditional	negative	some	neutral
If some boys had upset the boat, we would have begun.	There was no boy.	weak	real	conditional	negative	some	neutral
If some directors had read the letter, we would have begun.	There was no director.	weak	real	conditional	negative	some	neutral
If some directors had broadcast the message, we would have begun.	There was no director.	weak	real	conditional	negative	some	neutral
If some workers had hit the ball, we would have begun.	There was no worker.	weak	real	conditional	negative	some	neutral
If some managers had broadcast the message, we would have begun.	There was no manager.	weak	real	conditional	negative	some	neutral
If some kids had set the table, we would have begun.	There was no kid.	weak	real	conditional	negative	some	neutral
If some actors had put the book on the shelf, we would have begun.	There was no actor.	weak	real	conditional	negative	some	neutral
If some doctors had hit the gong, we would have begun.	There was no doctor.	weak	real	conditional	negative	some	neutral
If some engineers had cut the ribbon, we would have begun.	There was no engineer.	weak	real	conditional	negative	some	neutral
If some doctors had hit the lights, we would have begun.	There was no doctor.	weak	real	conditional	negative	some	neutral
If some teachers had cast bronze into a statue, we would have begun.	There was no teacher.	weak	real	conditional	negative	some	neutral
If some doctors had hit the ball, we would have begun.	There was no doctor.	weak	real	conditional	negative	some	neutral
If some girls had burst into the room, we would have begun.	There was no girl.	weak	real	conditional	negative	some	neutral
If some assistants had hit the lights, we would have begun.	There was no assistant.	weak	real	conditional	negative	some	neutral
If some students had upset the boat, we would have begun.	There was no student.	weak	real	conditional	negative	some	neutral
If some kids had hit the gong, we would have begun.	There was no kid.	weak	real	conditional	negative	some	neutral
If some boys had hit the gong, we would have begun.	There was no boy.	weak	real	conditional	negative	some	neutral
If some doctors had shut the door, we would have begun.	There was no doctor.	weak	real	conditional	negative	some	neutral
If some professors had put the book on the shelf, we would have begun.	There was no professor.	weak	real	conditional	negative	some	neutral
If some kids had let the dog in, we would have begun.	There was no kid.	weak	real	conditional	negative	some	neutral
If some actors had put the book on the shelf, we would have begun.	There was no actor.	weak	real	conditional	negative	some	neutral
If some boys had let the dog in, we would have begun.	There was no boy.	weak	real	conditional	negative	some	neutral
If some kids had broadcast the message, we would have begun.	There was no kid.	weak	real	conditional	negative	some	neutral
If some directors had hit the ball, we would have begun.	There was no director.	weak	real	conditional	negative	some	neutral
If some professors had spread the rumor, we would have begun.	There was no professor.	weak	real	conditional	negative	some	neutral
If some girls had hit the lights, we would have begun.	There was no girl.	weak	real	conditional	negative	some	neutral
If some workers had hit the gong, we would have begun.	There was no worker.	weak	real	conditional	negative	some	neutral
If some directors had read the letter, we would have begun.	There was no director.	weak	real	conditional	negative	some	neutral
If some doctors had thrust the fork into the cake, we would have begun.	There was no doctor.	weak	real	conditional	negative	some	neutral
If some directors had slit the envelope, we would have begun.	There was no director.	weak	real	conditional	negative	some	neutral
If some doctors had hurt others, we would have begun.	There was no doctor.	weak	real	conditional	negative	some	neutral
If some engineers had shut the door, we would have begun.	There was no engineer.	weak	real	conditional	negative	some	neutral
If some actors had put on a jacket, we would have begun.	There was no actor.	weak	real	conditional	negative	some	neutral
If some assistants had slit the envelope, we would have begun.	There was no assistant.	weak	real	conditional	negative	some	neutral
If some engineers had put the book on the shelf, we would have begun.	There was no engineer.	weak	real	conditional	negative	some	neutral
If some professors had put the book on the shelf, we would have begun.	There was no professor.	weak	real	conditional	negative	some	neutral
If some singers had put the book on the shelf, we would have begun.	There was no singer.	weak	real	conditional	negative	some	neutral
If some doctors had let the dog in, we would have begun.	There was no doctor.	weak	real	conditional	negative	some	neutral
If some athletes had read the letter, we would have begun.	There was no athlete.	weak	real	conditional	negative	some	neutral
If some assistants had burst into the room, we would have begun.	There was no assistant.	weak	real	conditional	negative	some	neutral
If some actors had broadcast the message, we would have begun.	There was no actor.	weak	real	conditional	negative	some	neutral
If some doctors had let the dog in, we would have begun.	There was no doctor.	weak	real	conditional	negative	some	neutral
If some students had cast bronze into a statue, we would have begun.	There was no student.	weak	real	conditional	negative	some	neutral
If some kids had thrust the fork into the cake, we would have begun.	There was no kid.	weak	real	conditional	negative	some	neutral
If some managers had cast bronze into a statue, we would have begun.	There was no manager.	weak	real	conditional	negative	some	neutral
If some singers had cast bronze into a statue, we would have begun.	There was no singer.	weak	real	conditional	negative	some	neutral
If some teachers had cast bronze into a statue, we would have begun.	There was no teacher.	weak	real	conditional	negative	some	neutral
If some kids had spread the rumor, we would have begun.	There was no kid.	weak	real	conditional	negative	some	neutral
If some singers had let the dog in, we would have begun.	There was no singer.	weak	real	conditional	negative	some	neutral
If some actors had put the book on the shelf, we would have begun.	There was no actor.	weak	real	conditional	negative	some	neutral
If no professors had slit the envelope, we would have begun.	There was no professor.	weak	real	conditional	negative	no	neutral
If no singers had hit the gong, we would have begun.	There was no singer.	weak	real	conditional	negative	no	neutral
If no doctors had put the book on the shelf, we would have begun.	There was no doctor.	weak	real	conditional	negative	no	neutral
If no doctors had set the table, we would have begun.	There was no doctor.	weak	real	conditional	negative	no	neutral
If no students had thrust the fork into the cake, we would have begun.	There was no student.	weak	real	conditional	negative	no	neutral
If no athletes had put on a jacket, we would have begun.	There was no athlete.	weak	real	conditional	negative	no	neutral
If no managers had put the book on the shelf, we would have begun.	There was no manager.	weak	real	conditional	negative	no	neutral
If no boys had burst into the room, we would have begun.	There was no boy.	weak	real	conditional	negative	no	neutral
If no girls had upset the boat, we would have begun.	There was no girl.	weak	real	conditional	negative	no	neutral
If no boys had shut the door, we would have begun.	There was no boy.	weak	real	conditional	negative	no	neutral
If no doctors had hit the lights, we would have begun.	There was no doctor.	weak	real	conditional	negative	no	neutral
If no teachers had put the book on the shelf, we would have begun.	There was no teacher.	weak	real	conditional	negative	no	neutral
If no boys had hurt others, we would have begun.	There was no boy.	weak	real	conditional	negative	no	neutral
If no athletes had cut the ribbon, we would have begun.	There was no athlete.	weak	real	conditional	negative	no	neutral
If no students had hit the gong, we would have begun.	There was no student.	weak	real	conditional	negative	no	neutral
If no workers had let the dog in, we would have begun.	There was no worker.	weak	real	conditional	negative	no	neutral
If no engineers had put on a jacket, we would have begun.	There was no engineer.	weak	real	conditional	negative	no	neutral
If no boys had shut the door, we would have begun.	There was no boy.	weak	real	conditional	negative	no	neutral
If no engineers had shut the door, we would have begun.	There was no engineer.	weak	real	conditional	negative	no	neutral
If no doctors had hit the lights, we would have begun.	There was no doctor.	weak	real	conditional	negative	no	neutral
If no professors had upset the boat, we would have begun.	There was no professor.	weak	real	conditional	negative	no	neutral
If no doctors had hit the ball, we would have begun.	There was no doctor.	weak	real	conditional	negative	no	neutral
If no boys had hit the gong, we would have begun.	There was no boy.	weak	real	conditional	negative	no	neutral
If no assistants had hit the lights, we would have begun.	There was no assistant.	weak	real	conditional	negative	no	neutral
