premise	hypothesis	label	noun_category	environment	hypothesis_polarity
Did the dragons slit the envelope?	The dragons slit the envelope.	neutral	unreal	interrogative	positive
Did the trolls slit the envelope?	The trolls slit the envelope.	neutral	unreal	interrogative	positive
Did the goblins hurt others?	The goblins hurt others.	neutral	unreal	interrogative	positive
Did the unicorns hit the lights?	The unicorns hit the lights.	neutral	unreal	interrogative	positive
Did the mermaids let the dog in?	The mermaids did not let the dog in.	neutral	unreal	interrogative	negative
Did the zombies hit the lights?	The zombies did not hit the lights.	neutral	unreal	interrogative	negative
Did the goblins put on a jacket?	The goblins did not put on a jacket.	neutral	unreal	interrogative	negative
Did the unicorns hit the gong?	The unicorns did not hit the gong.	neutral	unreal	interrogative	negative
Did the mermaids upset the boat?	The mermaids did not upset the boat.	neutral	unreal	interrogative	negative
Did the trolls spread the rumor?	The trolls did not spread the rumor.	neutral	unreal	interrogative	negative
Did the mermaids put the book on the shelf?	The mermaids did not put the book on the shelf.	neutral	unreal	interrogative	negative
Did the zombies hurt others?	The zombies did not hurt others.	neutral	unreal	interrogative	negative
Did the vampires put on a jacket?	The vampires did not put on a jacket.	neutral	unreal	interrogative	negative
Did the krakens put on a jacket?	The krakens did not put on a jacket.	neutral	unreal	interrogative	negative
Did the unicorns upset the boat?	The unicorns did not upset the boat.	neutral	unreal	interrogative	negative
Did the unicorns let the dog in?	The unicorns did not let the dog in.	neutral	unreal	interrogative	negative
Did the griffins spread the rumor?	The griffins did not spread the rumor.	neutral	unreal	interrogative	negative
Did the goblins cut the ribbon?	The goblins did not cut the ribbon.	neutral	unreal	interrogative	negative
Did the centaurs set the table?	The centaurs did not set the table.	neutral	unreal	interrogative	negative
Did the mermaids upset the boat?	The mermaids did not upset the boat.	neutral	unreal	interrogative	negative
Did the griffins read the letter?	The griffins did not read the letter.	neutral	unreal	interrogative	negative
Did the griffins spread the rumor?	The griffins did not spread the rumor.	neutral	unreal	interrogative	negative
Did the vampires hit the gong?	The vampires did not hit the gong.	neutral	unreal	interrogative	negative
Did the griffins upset the boat?	The griffins did not upset the boat.	neutral	unreal	interrogative	negative
Did the mermaids slit the envelope?	The mermaids did not slit the envelope.	neutral	unreal	interrogative	negative
Did the griffins let the dog in?	The griffins did not let the dog in.	neutral	unreal	interrogative	negative
Did the griffins hit the ball?	The griffins did not hit the ball.	neutral	unreal	interrogative	negative
Did the zombies put on a jacket?	The zombies did not put on a jacket.	neutral	unreal	interrogative	negative
Did the dragons shut the door?	The dragons did not shut the door.	neutral	unreal	interrogative	negative
Did the unicorns broadcast the message?	The unicorns did not broadcast the message.	neutral	unreal	interrogative	negative
Did the centaurs upset the boat?	The centaurs did not upset the boat.	neutral	unreal	interrogative	negative
Did the unicorns cast bronze into a statue?	The unicorns did not cast bronze into a statue.	neutral	unreal	interrogative	negative
Did the griffins broadcast the message?	The griffins did not broadcast the message.	neutral	unreal	interrogative	negative
Did the krakens burst into the room?	The krakens did not burst into the room.	neutral	unreal	interrogative	negative
Did the vampires set the table?	The vampires did not set the table.	neutral	unreal	interrogative	negative
Did the mermaids slit the envelope?	The mermaids did not slit the envelope.	neutral	unreal	interrogative	negative
Did the krakens hit the gong?	The krakens did not hit the gong.	neutral	unreal	interrogative	negative
Did the goblins upset the boat?	The goblins did not upset the boat.	neutral	unreal	interrogative	negative
Did the mermaids spread the rumor?	The mermaids did not spread the rumor.	neutral	unreal	interrogative	negative
Did the centaurs hit the gong?	The centaurs did not hit the gong.	neutral	unreal	interrogative	negative
Did the mermaids cut the ribbon?	The mermaids did not cut the ribbon.	neutral	unreal	interrogative	negative
Did the griffins let the dog in?	The griffins did not let the dog in.	neutral	unreal	interrogative	negative
Did the griffins upset the boat?	The griffins did not upset the boat.	neutral	unreal	interrogative	negative
Did the vampires hit the lights?	The vampires did not hit the lights.	neutral	unreal	interrogative	negative
Did the trolls spread the rumor?	The trolls did not spread the rumor.	neutral	unreal	interrogative	negative
Did the unicorns hit the gong?	The unicorns did not hit the gong.	neutral	unreal	interrogative	negative
Did the krakens let the dog in?	The krakens did not let the dog in.	neutral	unreal	interrogative	negative
Did the vampires set the table?	The vampires did not set the table.	neutral	unreal	interrogative	negative
Did the goblins broadcast the message?	The goblins did not broadcast the message.	neutral	unreal	interrogative	negative
Did the centaurs thrust the fork into the cake?	The centaurs did not thrust the fork into the cake.	neutral	unreal	interrogative	negative
Did the goblins spread the rumor?	The goblins did not spread the rumor.	neutral	unreal	interrogative	negative
Did the unicorns hurt others?	The unicorns did not hurt others.	neutral	unreal	interrogative	negative
Did the vampires burst into the room?	The vampires did not burst into the room.	neutral	unreal	interrogative	negative
Did the dragons upset the boat?	The dragons did not upset the boat.	neutral	unreal	interrogative	negative
Did the griffins thrust the fork into the cake?	The griffins did not thrust the fork into the cake.	neutral	unreal	interrogative	negative
Did the krakens broadcast the message?	The krakens did not broadcast the message.	neutral	unreal	interrogative	negative
Did the trolls hit the lights?	The trolls did not hit the lights.	neutral	unreal	interrogative	negative
Did the krakens burst into the room?	The krakens did not burst into the room.	neutral	unreal	interrogative	negative
Did the centaurs hit the gong?	The centaurs did not hit the gong.	neutral	unreal	interrogative	negative
Did the zombies shut the door?	The zombies did not shut the door.	neutral	unreal	interrogative	negative
Did the goblins set the table?	The goblins did not set the table.	neutral	unreal	interrogative	negative
Did the krakens hit the gong?	The krakens did not hit the gong.	neutral	unreal	interrogative	negative
Did the vampires cast bronze into a statue?	The vampires did not cast bronze into a statue.	neutral	unreal	interrogative	negative
Did the griffins hit the ball?	The griffins did not hit the ball.	neutral	unreal	interrogative	negative
Did the trolls cut the ribbon?	The trolls did not cut the ribbon.	neutral	unreal	interrogative	negative
Did the zombies broadcast the message?	The zombies did not broadcast the message.	neutral	unreal	interrogative	negative
Did the krakens thrust the fork into the cake?	The krakens did not thrust the fork into the cake.	neutral	unreal	interrogative	negative
Did the zombies let the dog in?	The zombies did not let the dog in.	neutral	unreal	interrogative	negative
Did the goblins broadcast the message?	The goblins did not broadcast the message.	neutral	unreal	interrogative	negative
Did the krakens put the book on the shelf?	The krakens did not put the book on the shelf.	neutral	unreal	interrogative	negative
Did the mermaids thrust the fork into the cake?	The mermaids did not thrust the fork into the cake.	neutral	unreal	interrogative	negative
Did the krakens read the letter?	The krakens did not read the letter.	neutral	unreal	interrogative	negative
Did the trolls set the table?	The trolls did not set the table.	neutral	unreal	interrogative	negative
Did the krakens slit the envelope?	The krakens did not slit the envelope.	neutral	unreal	interrogative	negative
Did the krakens read the letter?	The krakens did not read the letter.	neutral	unreal	interrogative	negative
Did the vampires upset the boat?	The vampires did not upset the boat.	neutral	unreal	interrogative	negative
Did the centaurs broadcast the message?	The centaurs did not broadcast the message.	neutral	unreal	interrogative	negative
Did the goblins let the dog in?	The goblins did not let the dog in.	neutral	unreal	interrogative	negative
Did the griffins slit the envelope?	The griffins did not slit the envelope.	neutral	unreal	interrogative	negative
Did the unicorns shut the door?	The unicorns did not shut the door.	neutral	unreal	interrogative	negative
Did the griffins shut the door?	The griffins did not shut the door.	neutral	unreal	interrogative	negative
Did the goblins thrust the fork into the cake?	The goblins did not thrust the fork into the cake.	neutral	unreal	interrogative	negative
Did the unicorns upset the boat?	The unicorns did not upset the boat.	neutral	unreal	interrogative	negative
Did the mermaids let the dog in?	The mermaids did not let the dog in.	neutral	unreal	interrogative	negative
Did the trolls cut the ribbon?	The trolls did not cut the ribbon.	neutral	unreal	interrogative	negative
Did the unicorns upset the boat?	The unicorns did not upset the boat.	neutral	unreal	interrogative	negative
Did the dragons slit the envelope?	The dragons did not slit the envelope.	neutral	unreal	interrogative	negative
Did the mermaids hurt others?	The mermaids did not hurt others.	neutral	unreal	interrogative	negative
Did the krakens let the dog in?	The krakens did not let the dog in.	neutral	unreal	interrogative	negative
Did the unicorns hit the ball?	The unicorns did not hit the ball.	neutral	unreal	interrogative	negative
Did the zombies put on a jacket?	The zombies did not put on a jacket.	neutral	unreal	interrogative	negative
Did the griffins set the table?	The griffins did not set the table.	neutral	unreal	interrogative	negative
Did the dragons spread the rumor?	The dragons did not spread the rumor.	neutral	unreal	interrogative	negative
Did the krakens slit the envelope?	The krakens did not slit the envelope.	neutral	unreal	interrogative	negative
Did the centaurs spread the rumor?	The centaurs did not spread the rumor.	neutral	unreal	interrogative	negative
Did the dragons hit the lights?	The dragons did not hit the lights.	neutral	unreal	interrogative	negative
Did the goblins cast bronze into a statue?	The goblins did not cast bronze into a statue.	neutral	unreal	interrogative	negative
Did the unicorns broadcast the message?	The unicorns did not broadcast the message.	neutral	unreal	interrogative	negative
Did the krakens read the letter?	The krakens did not read the letter.	neutral	unreal	interrogative	negative
Did the goblins thrust the fork into the cake?	The goblins did not thrust the fork into the cake.	neutral	unreal	interrogative	negative
Did the krakens put the book on the shelf?	The krakens did not put the book on the shelf.	neutral	unreal	interrogative	negative
Did the mermaids hit the ball?	The mermaids did not hit the ball.	neutral	unreal	interrogative	negative
Did the mermaids set the table?	The mermaids did not set the table.	neutral	unreal	interrogative	negative
Did the krakens put the book on the shelf?	The krakens did not put the book on the shelf.	neutral	unreal	interrogative	negative
If the assistants had upset the boat, we would have begun.	The assistants upset the boat.	contradiction	real	conditional	positive
If the professors had let the dog in, we would have begun.	The professors let the dog in.	contradiction	real	conditional	positive
If the assistants had hit the lights, we would have begun.	The assistants hit the lights.	contradiction	real	conditional	positive
If the directors had let the dog in, we would have begun.	The directors let the dog in.	contradiction	real	conditional	positive
If the professors had hit the gong, we would have begun.	The professors hit the gong.	contradiction	real	conditional	positive
If the actors had spread the rumor, we would have begun.	The actors spread the rumor.	contradiction	real	conditional	positive
If the actors had shut the door, we would have begun.	The actors shut the door.	contradiction	real	conditional	positive
If the directors had thrust the fork into the cake, we would have begun.	The directors thrust the fork into the cake.	contradiction	real	conditional	positive
If the teachers had hit the lights, we would have begun.	The teachers hit the lights.	contradiction	real	conditional	positive
If the engineers had upset the boat, we would have begun.	The engineers upset the boat.	contradiction	real	conditional	positive
If the kids had burst into the room, we would have begun.	The kids burst into the room.	contradiction	real	conditional	positive
If the doctors had hit the lights, we would have begun.	The doctors hit the lights.	contradiction	real	conditional	positive
If the athletes had hit the gong, we would have begun.	The athletes hit the gong.	contradiction	real	conditional	positive
If the boys had cast bronze into a statue, we would have begun.	The boys cast bronze into a statue.	contradiction	real	conditional	positive
If the students had slit the envelope, we would have begun.	The students slit the envelope.	contradiction	real	conditional	positive
If the boys had set the table, we would have begun.	The boys set the table.	contradiction	real	conditional	positive
If the workers had cut the ribbon, we would have begun.	The workers cut the ribbon.	contradiction	real	conditional	positive
If the managers had burst into the room, we would have begun.	The managers burst into the room.	contradiction	real	conditional	positive
If the students had read the letter, we would have begun.	The students read the letter.	contradiction	real	conditional	positive
If the doctors had set the table, we would have begun.	The doctors set the table.	contradiction	real	conditional	positive
If the actors had put on a jacket, we would have begun.	The actors put on a jacket.	contradiction	real	conditional	positive
If the kids had let the dog in, we would have begun.	The kids let the dog in.	contradiction	real	conditional	positive
If the assistants had hurt others, we would have begun.	The assistants hurt others.	contradiction	real	conditional	positive
If the assistants had hit the ball, we would have begun.	The assistants hit the ball.	contradiction	real	conditional	positive
If the students had cut the ribbon, we would have begun.	The students cut the ribbon.	contradiction	real	conditional	positive
If the professors had shut the door, we would have begun.	The professors shut the door.	contradiction	real	conditional	positive
If the assistants had read the letter, we would have begun.	The assistants read the letter.	contradiction	real	conditional	positive
If the assistants had slit the envelope, we would have begun.	The assistants slit the envelope.	contradiction	real	conditional	positive
If the assistants had hit the gong, we would have begun.	The assistants hit the gong.	contradiction	real	conditional	positive
If the singers had shut the door, we would have begun.	The singers shut the door.	contradiction	real	conditional	positive
If the assistants had thrust the fork into the cake, we would have begun.	The assistants thrust the fork into the cake.	contradiction	real	conditional	positive
If the athletes had hit the ball, we would have begun.	The athletes hit the ball.	contradiction	real	conditional	positive
If the engineers had cut the ribbon, we would have begun.	The engineers cut the ribbon.	contradiction	real	conditional	positive
If the actors had set the table, we would have begun.	The actors set the table.	contradiction	real	conditional	positive
If the singers had thrust the fork into the cake, we would have begun.	The singers thrust the fork into the cake.	contradiction	real	conditional	positive
If the athletes had slit the envelope, we would have begun.	The athletes slit the envelope.	contradiction	real	conditional	positive
If the athletes had let the dog in, we would have begun.	The athletes let the dog in.	contradiction	real	conditional	positive
If the professors had cast bronze into a statue, we would have begun.	The professors cast bronze into a statue.	contradiction	real	conditional	positive
If the engineers had slit the envelope, we would have begun.	The engineers slit the envelope.	contradiction	real	conditional	positive
If the directors had hit the lights, we would have begun.	The directors hit the lights.	contradiction	real	conditional	positive
If the engineers had spread the rumor, we would have begun.	The engineers spread the rumor.	contradiction	real	conditional	positive
If the directors had cut the ribbon, we would have begun.	The directors cut the ribbon.	contradiction	real	conditional	positive
If the workers had slit the envelope, we would have begun.	The workers slit the envelope.	contradiction	real	conditional	positive
If the directors had cast bronze into a statue, we would have begun.	The directors cast bronze into a statue.	contradiction	real	conditional	positive
If the doctors had broadcast the message, we would have begun.	The doctors broadcast the message.	contradiction	real	conditional	positive
If the girls had cut the ribbon, we would have begun.	The girls cut the ribbon.	contradiction	real	conditional	positive
If the actors had let the dog in, we would have begun.	The actors let the dog in.	contradiction	real	conditional	positive
If the professors had read the letter, we would have begun.	The professors read the letter.	contradiction	real	conditional	positive
If the engineers had read the letter, we would have begun.	The engineers read the letter.	contradiction	real	conditional	positive
If the athletes had read the letter, we would have begun.	The athletes read the letter.	contradiction	real	conditional	positive
If the singers had thrust the fork into the cake, we would have begun.	The singers thrust the fork into the cake.	contradiction	real	conditional	positive
If the engineers had broadcast the message, we would have begun.	The engineers broadcast the message.	contradiction	real	conditional	positive
If the kids had thrust the fork into the cake, we would have begun.	The kids thrust the fork into the cake.	contradiction	real	conditional	positive
If the professors had cut the ribbon, we would have begun.	The professors cut the ribbon.	contradiction	real	conditional	positive
If the assistants had set the table, we would have begun.	The assistants set the table.	contradiction	real	conditional	positive
If the athletes had spread the rumor, we would have begun.	The athletes spread the rumor.	contradiction	real	conditional	positive
If the workers had read the letter, we would have begun.	The workers read the letter.	contradiction	real	conditional	positive
If the professors had hit the ball, we would have begun.	The professors hit the ball.	contradiction	real	conditional	positive
If the doctors had spread the rumor, we would have begun.	The doctors spread the rumor.	contradiction	real	conditional	positive
If the boys had hit the gong, we would have begun.	The boys hit the gong.	contradiction	real	conditional	positive
If the directors had slit the envelope, we would have begun.	The directors slit the envelope.	contradiction	real	conditional	positive
If the boys had cut the ribbon, we would have begun.	The boys cut the ribbon.	contradiction	real	conditional	positive
If the athletes had hit the lights, we would have begun.	The athletes hit the lights.	contradiction	real	conditional	positive
If the assistants had hit the gong, we would have begun.	The assistants hit the gong.	contradiction	real	conditional	positive
If the students had burst into the room, we would have begun.	The students burst into the room.	contradiction	real	conditional	positive
If the students had set the table, we would have begun.	The students set the table.	contradiction	real	conditional	positive
If the assistants had burst into the room, we would have begun.	The assistants burst into the room.	contradiction	real	conditional	positive
If the athletes had cut the ribbon, we would have begun.	The athletes cut the ribbon.	contradiction	real	conditional	positive
If the teachers had cast bronze into a statue, we would have begun.	The teachers cast bronze into a statue.	contradiction	real	conditional	positive
If the assistants had hit the ball, we would have begun.	The assistants hit the ball.	contradiction	real	conditional	positive
If the directors had thrust the fork into the cake, we would have begun.	The directors thrust the fork into the cake.	contradiction	real	conditional	positive
If the actors had upset the boat, we would have begun.	The actors upset the boat.	contradiction	real	conditional	positive
If the professors had hit the lights, we would have begun.	The professors hit the lights.	contradiction	real	conditional	positive
If the doctors had burst into the room, we would have begun.	The doctors burst into the room.	contradiction	real	conditional	positive
If the teachers had burst into the room, we would have begun.	The teachers burst into the room.	contradiction	real	conditional	positive
If the actors had hit the ball, we would have begun.	The actors hit the ball.	contradiction	real	conditional	positive
If the students had hit the ball, we would have begun.	The students hit the ball.	contradiction	real	conditional	positive
If the engineers had burst into the room, we would have begun.	The engineers burst into the room.	contradiction	real	conditional	positive
If the kids had burst into the room, we would have begun.	The kids burst into the room.	contradiction	real	conditional	positive
If the professors had slit the envelope, we would have begun.	The professors slit the envelope.	contradiction	real	conditional	positive
If the engineers had put the book on the shelf, we would have begun.	The engineers put the book on the shelf.	contradiction	real	conditional	positive
If the teachers had broadcast the message, we would have begun.	The teachers broadcast the message.	contradiction	real	conditional	positive
If the directors had shut the door, we would have begun.	The directors shut the door.	contradiction	real	conditional	positive
If the managers had shut the door, we would have begun.	The managers shut the door.	contradiction	real	conditional	positive
If the girls had put on a jacket, we would have begun.	The girls put on a jacket.	contradiction	real	conditional	positive
If the doctors had put on a jacket, we would have begun.	The doctors put on a jacket.	contradiction	real	conditional	positive
If the doctors had hit the gong, we would have begun.	The doctors hit the gong.	contradiction	real	conditional	positive
If the engineers had cut the ribbon, we would have begun.	The engineers cut the ribbon.	contradiction	real	conditional	positive
If the teachers had cast bronze into a statue, we would have begun.	The teachers cast bronze into a statue.	contradiction	real	conditional	positive
If the professors had cut the ribbon, we would have begun.	The professors cut the ribbon.	contradiction	real	conditional	positive
If the managers had cut the ribbon, we would have begun.	The managers cut the ribbon.	contradiction	real	conditional	positive
If the singers had spread the rumor, we would have begun.	The singers spread the rumor.	contradiction	real	conditional	positive
If the workers had shut the door, we would have begun.	The workers shut the door.	contradiction	real	conditional	positive
If the directors had put on a jacket, we would have begun.	The directors put on a jacket.	contradiction	real	conditional	positive
If the assistants had slit the envelope, we would have begun.	The assistants slit the envelope.	contradiction	real	conditional	positive
If the boys had shut the door, we would have begun.	The boys shut the door.	contradiction	real	conditional	positive
If the managers had hit the ball, we would have begun.	The managers hit the ball.	contradiction	real	conditional	positive
If the athletes had slit the envelope, we would have begun.	The athletes slit the envelope.	contradiction	real	conditional	positive
If the teachers had cut the ribbon, we would have begun.	The teachers cut the ribbon.	contradiction	real	conditional	positive
If the professors had read the letter, we would have begun.	The professors read the letter.	contradiction	real	conditional	positive
If the kids had slit the envelope, we would have begun.	The kids did not slit the envelope.	entailment	real	conditional	negative
If the doctors had spread the rumor, we would have begun.	The doctors did not spread the rumor.	entailment	real	conditional	negative
If the girls had cut the ribbon, we would have begun.	The girls did not cut the ribbon.	entailment	real	conditional	negative
If the managers had put on a jacket, we would have begun.	The managers did not put on a jacket.	entailment	real	conditional	negative
If the singers had broadcast the message, we would have begun.	The singers did not broadcast the message.	entailment	real	conditional	negative
If the teachers had hit the ball, we would have begun.	The teachers did not hit the ball.	entailment	real	conditional	negative
If the students had broadcast the message, we would have begun.	The students did not broadcast the message.	entailment	real	conditional	negative
If the kids had hurt others, we would have begun.	The kids did not hurt others.	entailment	real	conditional	negative
If the athletes had broadcast the message, we would have begun.	The athletes did not broadcast the message.	entailment	real	conditional	negative
If the boys had put on a jacket, we would have begun.	The boys did not put on a jacket.	entailment	real	conditional	negative
If the assistants had burst into the room, we would have begun.	The assistants did not burst into the room.	entailment	real	conditional	negative
If the actors had spread the rumor, we would have begun.	The actors did not spread the rumor.	entailment	real	conditional	negative
If the managers had thrust the fork into the cake, we would have begun.	The managers did not thrust the fork into the cake.	entailment	real	conditional	negative
If the workers had hurt others, we would have begun.	The workers did not hurt others.	entailment	real	conditional	negative
If the athletes had hurt others, we would have begun.	The athletes did not hurt others.	entailment	real	conditional	negative
If the singers had set the table, we would have begun.	The singers did not set the table.	entailment	real	conditional	negative
If the kids had hurt others, we would have begun.	The kids did not hurt others.	entailment	real	conditional	negative
If the workers had shut the door, we would have begun.	The workers did not shut the door.	entailment	real	conditional	negative
If the students had broadcast the message, we would have begun.	The students did not broadcast the message.	entailment	real	conditional	negative
If the managers had burst into the room, we would have begun.	The managers did not burst into the room.	entailment	real	conditional	negative
If the athletes had thrust the fork into the cake, we would have begun.	The athletes did not thrust the fork into the cake.	entailment	real	conditional	negative
If the managers had burst into the room, we would have begun.	The managers did not burst into the room.	entailment	real	conditional	negative
If the girls had cut the ribbon, we would have begun.	The girls did not cut the ribbon.	entailment	real	conditional	negative
If the assistants had hit the lights, we would have begun.	The assistants did not hit the lights.	entailment	real	conditional	negative
If the managers had let the dog in, we would have begun.	The managers did not let the dog in.	entailment	real	conditional	negative
If the boys had put on a jacket, we would have begun.	The boys did not put on a jacket.	entailment	real	conditional	negative
If the athletes had cut the ribbon, we would have begun.	The athletes did not cut the ribbon.	entailment	real	conditional	negative
If the boys had hurt others, we would have begun.	The boys did not hurt others.	entailment	real	conditional	negative
If the workers had hit the ball, we would have begun.	The workers did not hit the ball.	entailment	real	conditional	negative
If the doctors had upset the boat, we would have begun.	The doctors did not upset the boat.	entailment	real	conditional	negative
If the kids had put on a jacket, we would have begun.	The kids did not put on a jacket.	entailment	real	conditional	negative
If the doctors had hit the ball, we would have begun.	The doctors did not hit the ball.	entailment	real	conditional	negative
If the kids had burst into the room, we would have begun.	The kids did not burst into the room.	entailment	real	conditional	negative
If the students had put the book on the shelf, we would have begun.	The students did not put the book on the shelf.	entailment	real	conditional	negative
If the assistants had shut the door, we would have begun.	The assistants did not shut the door.	entailment	real	conditional	negative
If the actors had upset the boat, we would have begun.	The actors did not upset the boat.	entailment	real	conditional	negative
If the students had hit the gong, we would have begun.	The students did not hit the gong.	entailment	real	conditional	negative
If the directors had put the book on the shelf, we would have begun.	The directors did not put the book on the shelf.	entailment	real	conditional	negative
If the managers had spread the rumor, we would have begun.	The managers did not spread the rumor.	entailment	real	conditional	negative
If the girls had hit the ball, we would have begun.	The girls did not hit the ball.	entailment	real	conditional	negative
If the teachers had burst into the room, we would have begun.	The teachers did not burst into the room.	entailment	real	conditional	negative
If the workers had shut the door, we would have begun.	The workers did not shut the door.	entailment	real	conditional	negative
If the managers had put on a jacket, we would have begun.	The managers did not put on a jacket.	entailment	real	conditional	negative
If the doctors had shut the door, we would have begun.	The doctors did not shut the door.	entailment	real	conditional	negative
If the teachers had hit the lights, we would have begun.	The teachers did not hit the lights.	entailment	real	conditional	negative
If the workers had set the table, we would have begun.	The workers did not set the table.	entailment	real	conditional	negative
If the actors had hit the ball, we would have begun.	The actors did not hit the ball.	entailment	real	conditional	negative
If the girls had slit the envelope, we would have begun.	The girls did not slit the envelope.	entailment	real	conditional	negative
If the athletes had spread the rumor, we would have begun.	The athletes did not spread the rumor.	entailment	real	conditional	negative
If the engineers had hit the lights, we would have begun.	The engineers did not hit the lights.	entailment	real	conditional	negative
If the boys had hit the gong, we would have begun.	The boys did not hit the gong.	entailment	real	conditional	negative
If the engineers had hit the gong, we would have begun.	The engineers did not hit the gong.	entailment	real	conditional	negative
If the doctors had hit the gong, we would have begun.	The doctors did not hit the gong.	entailment	real	conditional	negative
If the actors had hit the gong, we would have begun.	The actors did not hit the gong.	entailment	real	conditional	negative
If the boys had hurt others, we would have begun.	The boys did not hurt others.	entailment	real	conditional	negative
If the actors had hit the gong, we would have begun.	The actors did not hit the gong.	entailment	real	conditional	negative
If the singers had read the letter, we would have begun.	The singers did not read the letter.	entailment	real	conditional	negative
If the doctors had thrust the fork into the cake, we would have begun.	The doctors did not thrust the fork into the cake.	entailment	real	conditional	negative
If the doctors had set the table, we would have begun.	The doctors did not set the table.	entailment	real	conditional	negative
If the boys had shut the door, we would have begun.	The boys did not shut the door.	entailment	real	conditional	negative
If the doctors had broadcast the message, we would have begun.	The doctors did not broadcast the message.	entailment	real	conditional	negative
If the directors had cast bronze into a statue, we would have begun.	The directors did not cast bronze into a statue.	entailment	real	conditional	negative
If the actors had hit the ball, we would have begun.	The actors did not hit the ball.	entailment	real	conditional	negative
If the boys had hit the lights, we would have begun.	The boys did not hit the lights.	entailment	real	conditional	negative
If the professors had put on a jacket, we would have begun.	The professors did not put on a jacket.	entailment	real	conditional	negative
If the teachers had spread the rumor, we would have begun.	The teachers did not spread the rumor.	entailment	real	conditional	negative
If the workers had set the table, we would have begun.	The workers did not set the table.	entailment	real	conditional	negative
If the doctors had hit the lights, we would have begun.	The doctors did not hit the lights.	entailment	real	conditional	negative
If the professors had upset the boat, we would have begun.	The professors did not upset the boat.	entailment	real	conditional	negative
If the students had set the table, we would have begun.	The students did not set the table.	entailment	real	conditional	negative
If the professors had hit the lights, we would have begun.	The professors did not hit the lights.	entailment	real	conditional	negative
If the actors had burst into the room, we would have begun.	The actors did not burst into the room.	entailment	real	conditional	negative
If the doctors had hurt others, we would have begun.	The doctors did not hurt others.	entailment	real	conditional	negative
If the girls had read the letter, we would have begun.	The girls did not read the letter.	entailment	real	conditional	negative
If the girls had spread the rumor, we would have begun.	The girls did not spread the rumor.	entailment	real	conditional	negative
If the students had hit the ball, we would have begun.	The students did not hit the ball.	entailment	real	conditional	negative
If the directors had hit the ball, we would have begun.	The directors did not hit the ball.	entailment	real	conditional	negative
If the managers had hit the ball, we would have begun.	The managers did not hit the ball.	entailment	real	conditional	negative
If the workers had put the book on the shelf, we would have begun.	The workers did not put the book on the shelf.	entailment	real	conditional	negative
If the kids had hit the ball, we would have begun.	The kids did not hit the ball.	entailment	real	conditional	negative
If the students had thrust the fork into the cake, we would have begun.	The students did not thrust the fork into the cake.	entailment	real	conditional	negative
If the doctors had let the dog in, we would have begun.	The doctors did not let the dog in.	entailment	real	conditional	negative
If the girls had broadcast the message, we would have begun.	The girls did not broadcast the message.	entailment	real	conditional	negative
If the workers had shut the door, we would have begun.	The workers did not shut the door.	entailment	real	conditional	negative
If the teachers had hit the gong, we would have begun.	The teachers did not hit the gong.	entailment	real	conditional	negative
If the workers had set the table, we would have begun.	The workers did not set the table.	entailment	real	conditional	negative
If the assistants had set the table, we would have begun.	The assistants did not set the table.	entailment	real	conditional	negative
If the doctors had hit the gong, we would have begun.	The doctors did not hit the gong.	entailment	real	conditional	negative
If the boys had cast bronze into a statue, we would have begun.	The boys did not cast bronze into a statue.	entailment	real	conditional	negative
If the doctors had slit the envelope, we would have begun.	The doctors did not slit the envelope.	entailment	real	conditional	negative
If the girls had put the book on the shelf, we would have begun.	The girls did not put the book on the shelf.	entailment	real	conditional	negative
If the workers had slit the envelope, we would have begun.	The workers did not slit the envelope.	entailment	real	conditional	negative
If the directors had put on a jacket, we would have begun.	The directors did not put on a jacket.	entailment	real	conditional	negative
If the managers had hit the lights, we would have begun.	The managers did not hit the lights.	entailment	real	conditional	negative
If the assistants had hit the gong, we would have begun.	The assistants did not hit the gong.	entailment	real	conditional	negative
If the teachers had thrust the fork into the cake, we would have begun.	The teachers did not thrust the fork into the cake.	entailment	real	conditional	negative
If the kids had hit the lights, we would have begun.	The kids did not hit the lights.	entailment	real	conditional	negative
If the singers had burst into the room, we would have begun.	The singers did not burst into the room.	entailment	real	conditional	negative
If the doctors had upset the boat, we would have begun.	The doctors did not upset the boat.	entailment	real	conditional	negative
If the teachers had hurt others, we would have begun.	The teachers did not hurt others.	entailment	real	conditional	negative
If the goblins had read the letter, we would have begun.	The goblins read the letter.	contradiction	unreal	conditional	positive
If the centaurs had broadcast the message, we would have begun.	The centaurs broadcast the message.	contradiction	unreal	conditional	positive
If the mermaids had let the dog in, we would have begun.	The mermaids let the dog in.	contradiction	unreal	conditional	positive
If the krakens had spread the rumor, we would have begun.	The krakens spread the rumor.	contradiction	unreal	conditional	positive
If the krakens had slit the envelope, we would have begun.	The krakens slit the envelope.	contradiction	unreal	conditional	positive
If the mermaids had broadcast the message, we would have begun.	The mermaids broadcast the message.	contradiction	unreal	conditional	positive
If the vampires had cut the ribbon, we would have begun.	The vampires cut the ribbon.	contradiction	unreal	conditional	positive
If the vampires had burst into the room, we would have begun.	The vampires burst into the room.	contradiction	unreal	conditional	positive
If the centaurs had hit the ball, we would have begun.	The centaurs hit the ball.	contradiction	unreal	conditional	positive
If the trolls had slit the envelope, we would have begun.	The trolls slit the envelope.	contradiction	unreal	conditional	positive
If the zombies had hit the ball, we would have begun.	The zombies hit the ball.	contradiction	unreal	conditional	positive
